pop_size,elite_ratio,selection,crossover,crossover_rate,mutation_rate,mean_final,std_final,success_rate,auc
5,0.1,rank,uniform,0.8,1/D,10.0,0.0,30/30,0.9894
10,0.2,rank,uniform,1.0,1/D,10.0,0.0,30/30,0.9891
5,0.1,rank,uniform,1.0,1/D,10.0,0.0,30/30,0.9889
5,0.1,rank,one_point,0.8,1/D,10.0,0.0,30/30,0.9881
10,0.2,rank,uniform,0.8,1/D,10.0,0.0,30/30,0.988
5,0.1,rank,one_point,1.0,1/D,10.0,0.0,30/30,0.9879
10,0.2,rank,two_point,0.8,1/D,10.0,0.0,30/30,0.9876
10,0.2,rank,two_point,1.0,1/D,10.0,0.0,30/30,0.9874
5,0.1,rank,two_point,0.8,1/D,10.0,0.0,30/30,0.9874
10,0.1,rank,uniform,0.8,1/D,10.0,0.0,30/30,0.9874
10,0.2,rank,uniform,1.0,0.01,10.0,0.0,30/30,0.9873
20,0.1,rank,uniform,1.0,0.01,10.0,0.0,30/30,0.9871
10,0.2,rank,one_point,1.0,1/D,10.0,0.0,30/30,0.987
10,0.2,rank,one_point,0.8,1/D,10.0,0.0,30/30,0.987
20,0.2,rank,uniform,1.0,0.01,10.0,0.0,30/30,0.987
20,0.2,rank,uniform,1.0,0.005,10.0,0.0,30/30,0.9868
10,0.1,rank,uniform,1.0,1/D,10.0,0.0,30/30,0.9867
20,0.1,rank,uniform,1.0,0.005,10.0,0.0,30/30,0.9866
20,0.2,rank,uniform,0.8,0.01,10.0,0.0,30/30,0.9866
20,0.2,rank,uniform,1.0,1/D,10.0,0.0,30/30,0.9866
20,0.2,rank,uniform,0.8,1/D,10.0,0.0,30/30,0.9859
20,0.1,rank,uniform,0.8,0.01,10.0,0.0,30/30,0.9857
10,0.1,rank,one_point,1.0,1/D,10.0,0.0,30/30,0.9856
20,0.2,rank,two_point,1.0,1/D,10.0,0.0,30/30,0.9854
10,0.1,rank,one_point,0.8,1/D,10.0,0.0,30/30,0.9853
20,0.2,rank,two_point,0.8,1/D,10.0,0.0,30/30,0.9852
20,0.2,rank,two_point,1.0,0.01,10.0,0.0,30/30,0.9852
5,0.1,rank,two_point,1.0,1/D,10.0,0.0,30/30,0.985
10,0.1,rank,two_point,1.0,1/D,10.0,0.0,30/30,0.985
10,0.2,rank,uniform,0.8,0.01,10.0,0.0,30/30,0.9848
20,0.1,rank,two_point,1.0,0.01,10.0,0.0,30/30,0.9847
20,0.1,rank,uniform,0.8,1/D,10.0,0.0,30/30,0.9845
10,0.2,roulette,one_point,1.0,1/D,10.0,0.0,30/30,0.9845
20,0.2,rank,uniform,0.8,0.005,10.0,0.0,30/30,0.9845
10,0.1,rank,two_point,0.8,1/D,10.0,0.0,30/30,0.9844
10,0.2,roulette,uniform,1.0,1/D,10.0,0.0,30/30,0.9844
5,0.1,roulette,uniform,0.8,1/D,10.0,0.0,30/30,0.9844
