pop_size,elite_ratio,selection,crossover,crossover_rate,mutation_rate,mean_final,std_final,success_rate,auc
10,0.2,rank,uniform,1.0,1/D,30.0,0.0,30/30,0.9881
5,0.1,rank,uniform,1.0,1/D,30.0,0.0,30/30,0.988
10,0.2,rank,uniform,0.8,1/D,30.0,0.0,30/30,0.9877
5,0.1,rank,uniform,0.8,1/D,30.0,0.0,30/30,0.9873
5,0.1,rank,two_point,0.8,1/D,30.0,0.0,30/30,0.9866
5,0.1,rank,two_point,1.0,1/D,30.0,0.0,30/30,0.9863
20,0.2,rank,uniform,1.0,0.005,30.0,0.0,30/30,0.9861
20,0.2,rank,uniform,1.0,0.01,30.0,0.0,30/30,0.986
10,0.2,rank,two_point,1.0,1/D,30.0,0.0,30/30,0.986
10,0.2,rank,one_point,1.0,1/D,30.0,0.0,30/30,0.9856
10,0.2,rank,two_point,0.8,1/D,30.0,0.0,30/30,0.9855
10,0.2,rank,one_point,0.8,1/D,30.0,0.0,30/30,0.9853
20,0.2,rank,uniform,1.0,1/D,30.0,0.0,30/30,0.9852
10,0.1,rank,uniform,0.8,1/D,30.0,0.0,30/30,0.9851
10,0.1,rank,uniform,1.0,1/D,30.0,0.0,30/30,0.9851
20,0.2,rank,uniform,0.8,1/D,30.0,0.0,30/30,0.9848
5,0.1,rank,one_point,1.0,1/D,30.0,0.0,30/30,0.9847
10,0.2,rank,uniform,1.0,0.01,30.0,0.0,30/30,0.9846
20,0.2,rank,uniform,0.8,0.01,30.0,0.0,30/30,0.9841
10,0.1,rank,uniform,1.0,0.01,30.0,0.0,30/30,0.9839
5,0.1,rank,one_point,0.8,1/D,30.0,0.0,30/30,0.9839
20,0.1,rank,uniform,1.0,0.01,30.0,0.0,30/30,0.9836
20,0.1,rank,uniform,1.0,0.005,30.0,0.0,30/30,0.9836
10,0.2,rank,uniform,0.8,0.01,30.0,0.0,30/30,0.9833
20,0.2,rank,two_point,1.0,1/D,30.0,0.0,30/30,0.9833
10,0.1,rank,two_point,1.0,1/D,30.0,0.0,30/30,0.9832
5,0.1,rank,uniform,1.0,0.01,30.0,0.0,30/30,0.9832
20,0.1,rank,uniform,1.0,1/D,30.0,0.0,30/30,0.9831
20,0.1,rank,uniform,0.8,0.01,30.0,0.0,30/30,0.9828
20,0.2,rank,two_point,0.8,1/D,30.0,0.0,30/30,0.9825
