pop_size,elite_ratio,selection,crossover,crossover_rate,mutation_rate,mean_final,std_final,success_rate,auc
10,0.2,roulette,uniform,1.0,0.01,100.0,0.0,30/30,0.972
5,0.1,roulette,two_point,1.0,0.005,100.0,0.0,30/30,0.9719
5,0.1,roulette,one_point,0.8,0.01,100.0,0.0,30/30,0.9719
5,0.1,roulette,two_point,1.0,0.01,100.0,0.0,30/30,0.9712
5,0.1,roulette,one_point,1.0,0.005,100.0,0.0,30/30,0.9712
5,0.1,roulette,one_point,1.0,0.01,100.0,0.0,30/30,0.9707
5,0.1,roulette,uniform,0.8,0.005,100.0,0.0,30/30,0.9706
10,0.2,roulette,uniform,0.8,0.005,100.0,0.0,30/30,0.9702
5,0.1,roulette,uniform,1.0,0.01,100.0,0.0,30/30,0.97
5,0.1,roulette,two_point,0.8,0.005,100.0,0.0,30/30,0.9698
5,0.1,roulette,one_point,0.8,0.005,100.0,0.0,30/30,0.9697
50,0.2,rank,two_point,1.0,0.01,100.0,0.0,30/30,0.9693
20,0.2,roulette,uniform,0.8,0.005,100.0,0.0,30/30,0.9687
50,0.2,rank,two_point,1.0,0.005,100.0,0.0,30/30,0.9685
10,0.2,roulette,two_point,0.8,0.01,100.0,0.0,30/30,0.9684
10,0.2,roulette,two_point,1.0,0.005,100.0,0.0,30/30,0.9683
10,0.2,roulette,two_point,1.0,0.01,100.0,0.0,30/30,0.9681
10,0.2,roulette,one_point,0.8,0.01,100.0,0.0,30/30,0.9671
100,0.2,rank,uniform,1.0,0.005,100.0,0.0,30/30,0.967
10,0.2,roulette,two_point,0.8,0.005,100.0,0.0,30/30,0.9668
50,0.2,rank,two_point,0.8,0.01,100.0,0.0,30/30,0.9668
50,0.1,rank,two_point,1.0,0.01,100.0,0.0,30/30,0.9667
10,0.2,roulette,one_point,0.8,0.005,100.0,0.0,30/30,0.9661
10,0.2,roulette,one_point,1.0,0.005,100.0,0.0,30/30,0.9657
50,0.1,rank,two_point,1.0,0.005,100.0,0.0,30/30,0.9655
