pop_size,elite_ratio,selection,crossover,crossover_rate,mutation_rate,mean_final,std_final,success_rate,auc
5,0.1,rank,one_point,1.0,0.01,91.06666666666666,7.820985621515617,4/30,0.5691
10,0.2,rank,one_point,0.6,0.01,91.03333333333333,8.67610008262227,7/30,0.5546
10,0.2,rank,one_point,1.0,0.01,90.86666666666666,7.440491888324983,5/30,0.566
5,0.1,rank,one_point,0.8,0.01,89.96666666666667,7.649581161999851,4/30,0.5483
5,0.1,roulette,one_point,0.6,0.01,89.33333333333333,8.742813140471172,5/30,0.5573
5,0.1,roulette,one_point,0.8,0.01,89.16666666666667,8.395743311174208,6/30,0.5423
10,0.2,rank,one_point,0.8,0.01,88.86666666666666,8.49232242851654,6/30,0.5559
5,0.1,roulette,one_point,1.0,0.01,88.8,8.93424253393495,6/30,0.5502
5,0.1,rank,one_point,0.6,0.01,88.1,8.856519126298027,2/30,0.5526
10,0.2,rank,one_point,1.0,0.0075,87.86666666666666,9.853174994450487,4/30,0.5183
5,0.1,rank,one_point,0.6,0.0075,87.6,10.193304090228157,6/30,0.5262
20,0.2,rank,one_point,1.0,0.01,87.26666666666667,9.688006568142272,3/30,0.5357
10,0.2,roulette,one_point,0.8,0.01,86.96666666666667,9.444879413017235,6/30,0.5195
10,0.2,roulette,one_point,1.0,0.01,86.26666666666667,8.827595186777042,4/30,0.5211
10,0.2,rank,one_point,0.8,0.0075,86.26666666666667,9.860871239864935,4/30,0.5145
20,0.2,rank,one_point,0.8,0.01,86.13333333333334,9.744081610741036,3/30,0.5346
10,0.2,rank,one_point,0.6,0.0075,85.76666666666667,9.651454538702634,5/30,0.5159
20,0.2,rank,one_point,0.6,0.01,85.16666666666667,8.820365671258344,2/30,0.5189
5,0.1,rank,one_point,0.8,0.0075,85.03333333333333,10.029210211739723,4/30,0.5026
10,0.2,roulette,one_point,0.6,0.01,84.3,9.606571026987295,3/30,0.5063
5,0.1,rank,one_point,1.0,0.0075,84.3,8.78144595744051,1/30,0.5052
10,0.2,roulette,one_point,1.0,0.0075,84.26666666666667,9.985967165472008,3/30,0.4925
20,0.2,rank,one_point,0.8,0.0075,84.1,9.578532030643787,4/30,0.4991
10,0.1,rank,one_point,0.8,0.0075,83.76666666666667,10.077914854576415,2/30,0.4881
10,0.1,rank,one_point,0.8,0.01,83.7,9.192013024809954,0/30,0.5188
10,0.1,rank,one_point,1.0,0.01,83.33333333333333,9.404083241294465,0/30,0.5348
5,0.1,roulette,one_point,1.0,0.0075,83.16666666666667,8.485620020153906,2/30,0.4966
10,0.1,rank,one_point,1.0,0.0075,82.9,10.51222605120933,2/30,0.4935
5,0.1,roulette,one_point,0.6,0.0075,82.73333333333333,8.757000483685289,2/30,0.4869
5,0.1,roulette,one_point,0.8,0.0075,82.6,10.539253392388169,2/30,0.4927
10,0.1,rank,one_point,0.6,0.01,82.53333333333333,8.653216796055686,1/30,0.5288
10,0.1,rank,one_point,0.6,0.0075,81.6,7.453765537609509,1/30,0.4983
20,0.2,rank,one_point,1.0,0.0075,81.4,11.034741376279705,2/30,0.486
20,0.2,rank,one_point,0.6,0.0075,80.96666666666667,10.203053408199661,1/30,0.48
20,0.1,rank,one_point,0.6,0.01,80.26666666666667,10.45164013967164,2/30,0.5002
20,0.1,rank,one_point,1.0,0.01,79.8,5.961948304556732,0/30,0.5013
20,0.2,roulette,one_point,1.0,0.01,79.66666666666667,8.494758356788608,0/30,0.4761
20,0.1,rank,one_point,0.8,0.01,79.6,8.348446066432839,0/30,0.5053
20,0.2,roulette,one_point,0.6,0.01,79.43333333333334,9.65859750414761,0/30,0.482
20,0.1,rank,one_point,0.6,0.0075,79.43333333333334,7.766787528041894,0/30,0.4773
20,0.1,rank,one_point,1.0,0.0075,79.33333333333333,11.32081797134067,2/30,0.4772
10,0.2,roulette,one_point,0.6,0.0075,78.9,8.044488368034866,0/30,0.4643
10,0.2,roulette,one_point,0.8,0.0075,78.06666666666666,9.376909767167923,0/30,0.4619
