pop_size,elite_ratio,selection,crossover,crossover_rate,mutation_rate,mean_final,std_final,success_rate,auc
10,0.2,rank,one_point,1.0,0.01,30.0,0.0,30/30,0.9805
10,0.1,rank,one_point,1.0,0.01,30.0,0.0,30/30,0.9804
10,0.1,rank,one_point,0.8,0.01,30.0,0.0,30/30,0.9801
5,0.1,rank,one_point,1.0,0.01,30.0,0.0,30/30,0.98
5,0.1,rank,one_point,0.8,0.01,30.0,0.0,30/30,0.9797
10,0.2,rank,one_point,0.8,0.01,30.0,0.0,30/30,0.9796
10,0.2,rank,one_point,0.6,0.01,30.0,0.0,30/30,0.979
20,0.2,rank,one_point,1.0,0.0075,30.0,0.0,30/30,0.979
5,0.1,rank,one_point,0.6,0.01,30.0,0.0,30/30,0.9785
20,0.1,rank,one_point,1.0,0.01,30.0,0.0,30/30,0.9783
10,0.2,rank,one_point,1.0,0.0075,30.0,0.0,30/30,0.9782
20,0.2,rank,one_point,1.0,0.01,30.0,0.0,30/30,0.9778
10,0.1,rank,one_point,0.6,0.01,30.0,0.0,30/30,0.9771
20,0.1,rank,one_point,1.0,0.0075,30.0,0.0,30/30,0.9771
10,0.2,rank,one_point,0.8,0.0075,30.0,0.0,30/30,0.977
20,0.1,rank,one_point,0.8,0.0075,30.0,0.0,30/30,0.9761
20,0.2,rank,one_point,0.8,0.01,30.0,0.0,30/30,0.976
20,0.1,rank,one_point,0.8,0.01,30.0,0.0,30/30,0.9755
5,0.1,rank,one_point,1.0,0.0075,30.0,0.0,30/30,0.9754
20,0.2,rank,one_point,0.8,0.0075,30.0,0.0,30/30,0.9752
5,0.1,rank,one_point,0.8,0.0075,30.0,0.0,30/30,0.9751
20,0.2,rank,one_point,0.6,0.01,30.0,0.0,30/30,0.9751
5,0.1,rank,one_point,0.6,0.0075,30.0,0.0,30/30,0.975
20,0.2,rank,one_point,1.0,0.005,30.0,0.0,30/30,0.9749
10,0.2,rank,one_point,0.6,0.0075,30.0,0.0,30/30,0.9746
10,0.1,rank,one_point,0.8,0.0075,30.0,0.0,30/30,0.9746
10,0.1,rank,one_point,1.0,0.0075,30.0,0.0,30/30,0.9745
20,0.1,rank,one_point,0.6,0.01,30.0,0.0,30/30,0.974
10,0.1,rank,one_point,0.6,0.0075,30.0,0.0,30/30,0.9735
20,0.1,rank,one_point,0.8,0.005,30.0,0.0,30/30,0.9735
20,0.2,rank,one_point,0.6,0.0075,30.0,0.0,30/30,0.973
20,0.2,rank,one_point,0.8,0.005,30.0,0.0,30/30,0.9725
10,0.2,rank,one_point,1.0,0.005,30.0,0.0,30/30,0.9725
20,0.2,rank,one_point,0.6,0.005,30.0,0.0,30/30,0.9719
10,0.2,rank,one_point,0.8,0.005,30.0,0.0,30/30,0.9718
20,0.1,rank,one_point,1.0,0.005,30.0,0.0,30/30,0.9716
5,0.1,roulette,one_point,1.0,0.01,30.0,0.0,30/30,0.9713
