pop_size,elite_ratio,selection,crossover,crossover_rate,mutation_rate,mean_final,std_final,success_rate,auc
20,0.1,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.9835
20,0.2,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.9835
20,0.2,rank,one_point,0.8,0.01,10.0,0.0,30/30,0.9822
20,0.2,rank,one_point,1.0,0.0075,10.0,0.0,30/30,0.9819
20,0.1,rank,one_point,1.0,0.0075,10.0,0.0,30/30,0.9815
20,0.1,rank,one_point,0.8,0.01,10.0,0.0,30/30,0.9811
20,0.2,rank,one_point,1.0,0.005,10.0,0.0,30/30,0.9809
10,0.2,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.9809
20,0.1,rank,one_point,1.0,0.005,10.0,0.0,30/30,0.9807
20,0.2,rank,one_point,0.6,0.01,10.0,0.0,30/30,0.9803
20,0.1,rank,one_point,0.6,0.01,10.0,0.0,30/30,0.9803
20,0.2,roulette,one_point,1.0,0.01,10.0,0.0,30/30,0.9795
20,0.2,rank,one_point,0.8,0.0075,10.0,0.0,30/30,0.9792
10,0.2,roulette,one_point,1.0,0.01,10.0,0.0,30/30,0.9788
20,0.2,roulette,one_point,0.8,0.01,10.0,0.0,30/30,0.9786
10,0.2,rank,one_point,0.8,0.01,10.0,0.0,30/30,0.9783
20,0.1,rank,one_point,0.8,0.0075,10.0,0.0,30/30,0.9781
20,0.1,roulette,one_point,1.0,0.0075,10.0,0.0,30/30,0.9779
20,0.2,rank,one_point,0.8,0.005,10.0,0.0,30/30,0.9778
20,0.1,roulette,one_point,0.8,0.01,10.0,0.0,30/30,0.9777
20,0.1,roulette,one_point,1.0,0.01,10.0,0.0,30/30,0.9774
10,0.1,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.9773
20,0.1,rank,one_point,0.8,0.005,10.0,0.0,30/30,0.9771
20,0.2,roulette,one_point,0.8,0.0075,10.0,0.0,30/30,0.9771
10,0.2,rank,one_point,0.6,0.01,10.0,0.0,30/30,0.9768
50,0.2,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.9768
10,0.1,rank,one_point,1.0,0.0075,10.0,0.0,30/30,0.9768
50,0.2,rank,one_point,1.0,0.0075,10.0,0.0,30/30,0.9767
50,0.1,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.9766
50,0.2,rank,one_point,1.0,0.005,10.0,0.0,30/30,0.9765
20,0.1,rank,one_point,0.6,0.005,10.0,0.0,30/30,0.9764
20,0.2,roulette,one_point,1.0,0.0075,10.0,0.0,30/30,0.9764
10,0.1,rank,one_point,0.6,0.01,10.0,0.0,30/30,0.9764
10,0.1,rank,one_point,0.6,0.0075,10.0,0.0,30/30,0.9762
50,0.1,rank,one_point,1.0,0.005,10.0,0.0,30/30,0.9761
50,0.1,rank,one_point,1.0,0.0075,10.0,0.0,30/30,0.9759
10,0.2,roulette,one_point,0.8,0.01,10.0,0.0,30/30,0.9758
10,0.1,rank,one_point,0.8,0.01,10.0,0.0,30/30,0.9756
20,0.1,roulette,one_point,0.8,0.0075,10.0,0.0,30/30,0.9756
20,0.1,rank,one_point,0.6,0.0075,10.0,0.0,30/30,0.9752
50,0.2,rank,one_point,0.8,0.0075,10.0,0.0,30/30,0.9751
10,0.2,roulette,one_point,0.6,0.01,10.0,0.0,30/30,0.975
20,0.2,roulette,one_point,1.0,0.005,10.0,0.0,30/30,0.9748
50,0.2,rank,one_point,0.8,0.005,10.0,0.0,30/30,0.9746
20,0.2,roulette,one_point,0.8,0.005,10.0,0.0,30/30,0.9744
50,0.1,rank,one_point,0.8,0.0075,10.0,0.0,30/30,0.9744
50,0.2,rank,one_point,0.8,0.01,10.0,0.0,30/30,0.9744
20,0.2,rank,one_point,0.6,0.0075,10.0,0.0,30/30,0.9743
20,0.2,roulette,one_point,0.6,0.01,10.0,0.0,30/30,0.9742
50,0.2,roulette,one_point,1.0,0.005,10.0,0.0,30/30,0.9742
20,0.1,roulette,one_point,0.6,0.01,10.0,0.0,30/30,0.9739
50,0.1,rank,one_point,0.8,0.01,10.0,0.0,30/30,0.9739
50,0.1,rank,one_point,0.8,0.005,10.0,0.0,30/30,0.9737
50,0.1,rank,one_point,0.6,0.01,10.0,0.0,30/30,0.9737
50,0.1,rank,one_point,0.6,0.005,10.0,0.0,30/30,0.9736
10,0.1,roulette,one_point,0.8,0.01,10.0,0.0,30/30,0.9734
20,0.1,roulette,one_point,0.8,0.005,10.0,0.0,30/30,0.9732
50,0.1,roulette,one_point,0.8,0.01,10.0,0.0,30/30,0.9732
50,0.2,roulette,one_point,1.0,0.01,10.0,0.0,30/30,0.9731
50,0.2,roulette,one_point,1.0,0.0075,10.0,0.0,30/30,0.9731
10,0.1,rank,one_point,0.8,0.0075,10.0,0.0,30/30,0.9729
50,0.1,roulette,one_point,0.8,0.0075,10.0,0.0,30/30,0.9729
50,0.2,rank,one_point,0.6,0.01,10.0,0.0,30/30,0.9727
50,0.1,rank,one_point,0.6,0.0075,10.0,0.0,30/30,0.9726
20,0.1,roulette,one_point,0.6,0.0075,10.0,0.0,30/30,0.9723
50,0.2,rank,one_point,0.6,0.0075,10.0,0.0,30/30,0.9723
20,0.2,roulette,one_point,0.6,0.0075,10.0,0.0,30/30,0.972
50,0.2,rank,one_point,0.6,0.005,10.0,0.0,30/30,0.972
5,0.1,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.9717
50,0.2,roulette,one_point,0.8,0.0075,10.0,0.0,30/30,0.9713
50,0.1,roulette,one_point,0.8,0.005,10.0,0.0,30/30,0.9712
50,0.1,roulette,one_point,1.0,0.01,10.0,0.0,30/30,0.9711
50,0.2,roulette,one_point,0.8,0.005,10.0,0.0,30/30,0.9711
10,0.1,roulette,one_point,1.0,0.01,10.0,0.0,30/30,0.9707
100,0.2,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.9705
50,0.1,roulette,one_point,1.0,0.005,10.0,0.0,30/30,0.9704
50,0.1,roulette,one_point,1.0,0.0075,10.0,0.0,30/30,0.9702
100,0.2,rank,one_point,1.0,0.005,10.0,0.0,30/30,0.9701
100,0.1,rank,one_point,1.0,0.0075,10.0,0.0,30/30,0.9698
10,0.1,rank,one_point,1.0,0.005,10.0,0.0,30/30,0.9698
100,0.2,rank,one_point,0.8,0.01,10.0,0.0,30/30,0.9697
20,0.1,roulette,one_point,0.6,0.005,10.0,0.0,30/30,0.9695
50,0.2,roulette,one_point,0.6,0.005,10.0,0.0,30/30,0.9695
5,0.1,rank,one_point,0.8,0.01,10.0,0.0,30/30,0.9694
50,0.1,roulette,one_point,0.6,0.01,10.0,0.0,30/30,0.9694
100,0.2,rank,one_point,0.8,0.005,10.0,0.0,30/30,0.9693
100,0.2,rank,one_point,1.0,0.0075,10.0,0.0,30/30,0.9693
10,0.1,roulette,one_point,0.8,0.0075,10.0,0.0,30/30,0.9693
100,0.1,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.9693
100,0.1,rank,one_point,1.0,0.005,10.0,0.0,30/30,0.9692
5,0.1,rank,one_point,0.6,0.01,10.0,0.0,30/30,0.9691
100,0.2,rank,one_point,0.6,0.005,10.0,0.0,30/30,0.969
100,0.2,rank,one_point,0.8,0.0075,10.0,0.0,30/30,0.9689
50,0.2,roulette,one_point,0.8,0.01,10.0,0.0,30/30,0.9685
50,0.2,roulette,one_point,0.6,0.0075,10.0,0.0,30/30,0.9684
5,0.1,roulette,one_point,1.0,0.01,10.0,0.0,30/30,0.968
50,0.2,roulette,one_point,0.6,0.01,10.0,0.0,30/30,0.968
50,0.1,roulette,one_point,0.6,0.0075,10.0,0.0,30/30,0.9679
100,0.2,rank,one_point,0.6,0.0075,10.0,0.0,30/30,0.9678
100,0.1,rank,one_point,0.8,0.005,10.0,0.0,30/30,0.9677
