pop_size,elite_ratio,selection,crossover,crossover_rate,mutation_rate,mean_final,std_final,success_rate,auc
20,0.2,rank,one_point,1.0,0.01,30.0,0.0,30/30,0.737
20,0.2,rank,one_point,0.8,0.01,30.0,0.0,30/30,0.7364
5,0.1,rank,one_point,0.6,0.01,30.0,0.0,30/30,0.7232
10,0.1,rank,one_point,0.8,0.01,30.0,0.0,30/30,0.7183
10,0.1,rank,one_point,1.0,0.01,30.0,0.0,30/30,0.7099
20,0.1,rank,one_point,0.8,0.01,30.0,0.0,30/30,0.7056
10,0.1,rank,one_point,0.6,0.01,29.933333333333334,0.36514837167011066,29/30,0.7335
20,0.1,rank,one_point,1.0,0.01,29.933333333333334,0.36514837167011066,29/30,0.723
10,0.2,rank,one_point,1.0,0.01,29.833333333333332,0.9128709291752769,29/30,0.7278
10,0.1,roulette,one_point,0.6,0.01,29.833333333333332,0.6477192523656045,28/30,0.67
10,0.2,rank,one_point,0.8,0.01,29.8,0.8051557998728975,28/30,0.7416
10,0.2,rank,one_point,0.6,0.01,29.8,0.9247553264475438,28/30,0.7186
5,0.1,roulette,one_point,0.6,0.01,29.766666666666666,0.8172001541568767,27/30,0.7027
5,0.1,rank,one_point,1.0,0.01,29.733333333333334,1.0482607379429243,28/30,0.7194
20,0.1,rank,one_point,0.6,0.01,29.733333333333334,1.2847469449832045,28/30,0.7153
20,0.2,rank,one_point,0.8,0.0075,29.7,1.3169976304537112,28/30,0.7033
5,0.1,rank,one_point,0.8,0.01,29.666666666666668,1.3729739514150907,28/30,0.7169
5,0.1,roulette,one_point,1.0,0.01,29.666666666666668,0.9589266029707684,26/30,0.7003
10,0.1,roulette,one_point,0.8,0.01,29.666666666666668,0.9589266029707684,26/30,0.6713
5,0.1,rank,one_point,0.6,0.0075,29.533333333333335,1.0416609195243758,24/30,0.6467
5,0.1,rank,one_point,0.8,0.0075,29.533333333333335,1.0416609195243758,24/30,0.6414
5,0.1,rank,one_point,1.0,0.0075,29.533333333333335,1.0742546199601597,24/30,0.6355
20,0.2,rank,one_point,0.6,0.01,29.5,1.5028708160235107,26/30,0.7087
5,0.1,roulette,one_point,0.8,0.01,29.5,1.4797483476638158,26/30,0.6903
20,0.2,roulette,one_point,1.0,0.01,29.5,1.3582443028435263,26/30,0.6827
20,0.2,rank,one_point,1.0,0.0075,29.433333333333334,1.5687318254659988,25/30,0.6775
20,0.2,rank,one_point,0.6,0.0075,29.433333333333334,1.5465943304527225,25/30,0.6664
10,0.2,roulette,one_point,0.8,0.01,29.333333333333332,1.5829551877538357,24/30,0.6955
20,0.2,roulette,one_point,0.8,0.01,29.333333333333332,2.170862427276524,27/30,0.6841
5,0.1,roulette,one_point,0.8,0.0075,29.333333333333332,1.3217891045025332,21/30,0.6222
20,0.1,rank,one_point,1.0,0.0075,29.233333333333334,1.7554512797005497,23/30,0.6688
10,0.2,roulette,one_point,0.6,0.01,29.233333333333334,1.6750364552560582,24/30,0.6548
