pop_size,elite_ratio,selection,crossover,crossover_rate,mutation_rate,mean_final,std_final,success_rate,auc
5,0.1,roulette,uniform,1.0,1/D,10.0,0.0,30/30,0.9612
5,0.1,roulette,uniform,0.8,1/D,10.0,0.0,30/30,0.9609
5,0.1,rank,uniform,1.0,1/D,10.0,0.0,30/30,0.9609
10,0.1,roulette,uniform,0.8,1/D,10.0,0.0,30/30,0.9589
5,0.1,rank,uniform,0.8,1/D,10.0,0.0,30/30,0.9582
10,0.2,roulette,one_point,0.8,1/D,10.0,0.0,30/30,0.9581
5,0.1,rank,two_point,1.0,1/D,10.0,0.0,30/30,0.9581
10,0.1,roulette,uniform,1.0,1/D,10.0,0.0,30/30,0.9573
10,0.1,rank,uniform,1.0,1/D,10.0,0.0,30/30,0.9572
5,0.1,roulette,two_point,0.8,1/D,10.0,0.0,30/30,0.957
10,0.2,rank,one_point,1.0,1/D,10.0,0.0,30/30,0.9562
5,0.1,roulette,two_point,1.0,1/D,10.0,0.0,30/30,0.9553
10,0.1,roulette,one_point,1.0,1/D,10.0,0.0,30/30,0.9553
5,0.1,rank,one_point,0.8,1/D,10.0,0.0,30/30,0.9549
5,0.1,rank,one_point,1.0,1/D,10.0,0.0,30/30,0.9547
10,0.2,rank,uniform,1.0,1/D,10.0,0.0,30/30,0.9544
10,0.2,roulette,one_point,1.0,1/D,10.0,0.0,30/30,0.9543
20,0.2,roulette,two_point,1.0,1/D,10.0,0.0,30/30,0.954
10,0.2,roulette,two_point,0.8,1/D,10.0,0.0,30/30,0.9535
10,0.1,rank,uniform,0.8,1/D,10.0,0.0,30/30,0.9523
20,0.1,roulette,uniform,0.8,1/D,10.0,0.0,30/30,0.9523
20,0.2,roulette,one_point,1.0,1/D,10.0,0.0,30/30,0.9522
5,0.1,rank,two_point,0.8,1/D,10.0,0.0,30/30,0.952
10,0.1,roulette,one_point,0.8,1/D,10.0,0.0,30/30,0.9516
20,0.2,roulette,uniform,1.0,1/D,10.0,0.0,30/30,0.9516
20,0.2,roulette,uniform,0.8,1/D,10.0,0.0,30/30,0.9515
10,0.2,roulette,two_point,1.0,1/D,10.0,0.0,30/30,0.9515
10,0.2,rank,two_point,1.0,1/D,10.0,0.0,30/30,0.9507
20,0.2,roulette,one_point,0.8,1/D,10.0,0.0,30/30,0.9506
10,0.2,roulette,uniform,1.0,1/D,10.0,0.0,30/30,0.9505
5,0.1,roulette,one_point,0.8,1/D,10.0,0.0,30/30,0.9505
10,0.1,roulette,two_point,1.0,1/D,10.0,0.0,30/30,0.9505
10,0.2,rank,uniform,0.8,1/D,10.0,0.0,30/30,0.9503
10,0.2,rank,one_point,0.8,1/D,10.0,0.0,30/30,0.95
20,0.1,roulette,two_point,0.8,1/D,10.0,0.0,30/30,0.9499
10,0.1,rank,two_point,1.0,1/D,10.0,0.0,30/30,0.9499
10,0.1,roulette,two_point,0.8,1/D,10.0,0.0,30/30,0.9498
10,0.2,rank,two_point,0.8,1/D,10.0,0.0,30/30,0.9489
20,0.2,roulette,two_point,0.8,1/D,10.0,0.0,30/30,0.9485
10,0.1,rank,two_point,0.8,1/D,10.0,0.0,30/30,0.9483
5,0.1,roulette,one_point,1.0,1/D,10.0,0.0,30/30,0.9483
20,0.2,rank,uniform,1.0,1/D,10.0,0.0,30/30,0.9473
20,0.1,roulette,uniform,1.0,1/D,10.0,0.0,30/30,0.9473
10,0.2,roulette,uniform,0.8,1/D,10.0,0.0,30/30,0.9471
10,0.1,rank,one_point,0.8,1/D,10.0,0.0,30/30,0.9469
20,0.1,roulette,one_point,0.8,1/D,10.0,0.0,30/30,0.946
20,0.1,roulette,one_point,1.0,1/D,10.0,0.0,30/30,0.9458
20,0.1,roulette,two_point,1.0,1/D,10.0,0.0,30/30,0.9441
20,0.1,rank,uniform,1.0,1/D,10.0,0.0,30/30,0.9438
20,0.2,rank,two_point,1.0,1/D,10.0,0.0,30/30,0.9428
20,0.2,rank,uniform,0.8,1/D,10.0,0.0,30/30,0.9427
20,0.1,rank,two_point,1.0,1/D,10.0,0.0,30/30,0.9418
20,0.1,rank,uniform,0.8,1/D,10.0,0.0,30/30,0.9414
20,0.1,rank,two_point,0.8,1/D,10.0,0.0,30/30,0.9413
20,0.2,rank,two_point,0.8,1/D,10.0,0.0,30/30,0.941
20,0.2,rank,one_point,1.0,1/D,10.0,0.0,30/30,0.9408
10,0.1,rank,one_point,1.0,1/D,10.0,0.0,30/30,0.94
20,0.2,rank,one_point,0.8,1/D,10.0,0.0,30/30,0.9386
20,0.1,rank,one_point,1.0,1/D,10.0,0.0,30/30,0.9384
20,0.1,rank,one_point,0.8,1/D,10.0,0.0,30/30,0.9374
